real_x,real_y,im_x,im_y
21.8,-712.5,150.9,65
63,-667,118.1,100.1
-117.6,-673.6,260.9,92.4
-270.9,-674.7,382.6,91.5
-448.2,-672,523.6,91.1
106.4,-616.7,85.8,139.1
-21.6,-572.7,184.1,171.9
-203.7,-572.3,331,172.4
-277.5,-569.3,389.8,173.3
-367.6,-575.7,460.7,170.6
52.3,-473.5,127.5,253.2
-118.8,-475.9,263.2,249.6
-199.6,-480.6,327.8,246.4
-280.6,-485.7,392.5,241.5
-446.1,-480.2,524,244.2
-26.1,-400.5,189.5,312
-114,-399.7,260,312
-208.1,-401.3,335.4,309.3
-367.3,-392,463,315.1
54.4,-322.2,126.6,373.5
-120.3,-322.2,265.4,374
-274.7,-311,389.3,383
-447.1,-312,527.6,380.7
