real_x,real_y,im_x,im_y
21.8,-712.5,728,375
63,-667,689,419
-117.6,-673.6,864,412
-270.9,-674.7,1013,410
-448.2,-672,1184,410
106.4,-616.7,649,467
-21.6,-572.7,771,509
-203.7,-572.3,950,508
-277.5,-569.3,1019,511
-367.6,-575.7,1106,506
52.3,-473.5,703,607
-118.8,-475.9,867,604
-199.6,-480.6,945,599
-280.6,-485.7,1023,593
-446.1,-480.2,1183,597
-26.1,-400.5,779,677
-114,-399.7,863,676
-208.1,-401.3,955,674
-367.3,-392,1108,682
54.4,-322.2,703,752
-120.3,-322.2,870,752
-274.7,-311,1019,760
-447.1,-312,1184,759
